Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------------+-----------------+--------------+
|                                                                                   Method                                                                                   |    Time (ms)    |  Avg. Time (ms)  |  Own Time (ms)  |    Count     |
|  com.sun.management.GcInfo.from(CompositeData) GcInfo.java                                                                                                                 |       11    0%  |               1  |          < 0.1  |           8  |
|  com.sun.management.GcInfo.<init>(CompositeData) GcInfo.java                                                                                                               |       11    0%  |               1  |          < 0.1  |           8  |
|  java.util.zip.ZipCoder$UTF8ZipCoder.checkedHash(byte[], int, int) ZipCoder.java                                                                                           |       10    0%  |           < 0.1  |              6  |       4,648  |
|  Harness.processArguments(String[])                                                                                                                                        |       10    0%  |              10  |              3  |           1  |
|  java.util.zip.ZipFile$Source.<clinit>() ZipFile.java                                                                                                                      |        9    0%  |               9  |            0.1  |           1  |
|  javax.management.openmbean.CompositeDataSupport.makeMap(String[], Object[]) CompositeDataSupport.java                                                                     |        9    0%  |           < 0.1  |              1  |         272  |
|  sun.nio.fs.DefaultFileSystemProvider.<clinit>() DefaultFileSystemProvider.java                                                                                            |        9    0%  |               9  |              2  |           1  |
|  sun.management.MappedMXBeanType$MapMXBeanType.toJavaTypeData(Object) MappedMXBeanType.java                                                                                |        9    0%  |             0.5  |            0.4  |          16  |
|  java.util.zip.ZipUtils.CENSIG(byte[], int) ZipUtils.java                                                                                                                  |        8    0%  |           < 0.1  |              5  |       4,648  |
|  jdk.internal.loader.URLClassPath$JarLoader$2.getBytes() URLClassPath.java                                                                                                 |        7    0%  |             0.1  |            0.1  |          39  |
|  sun.management.MappedMXBeanType$CompositeDataMXBeanType.toJavaTypeData(Object) MappedMXBeanType.java                                                                      |        7    0%  |           < 0.1  |            0.8  |         128  |
|  sun.nio.fs.LinuxFileSystemProvider.<init>() LinuxFileSystemProvider.java                                                                                                  |        7    0%  |               7  |          < 0.1  |           1  |
|  sun.nio.fs.UnixFileSystemProvider.<init>() UnixFileSystemProvider.java                                                                                                    |        7    0%  |               7  |          < 0.1  |           1  |
|  sun.nio.fs.LinuxFileSystemProvider.newFileSystem(String) LinuxFileSystemProvider.java                                                                                     |        7    0%  |               7  |          < 0.1  |           1  |
|  sun.nio.fs.LinuxFileSystemProvider.newFileSystem(String) LinuxFileSystemProvider.java                                                                                     |        7    0%  |               7  |              1  |           1  |
|  java.util.TreeMap$PrivateEntryIterator.nextEntry() TreeMap.java                                                                                                           |        6    0%  |           < 0.1  |              4  |       3,368  |
|  jdk.internal.loader.Resource.getBytes() Resource.java                                                                                                                     |        6    0%  |             0.1  |            0.3  |          39  |
|  sun.management.LazyCompositeData.isTypeMatched(CompositeType, CompositeType) LazyCompositeData.java                                                                       |        6    0%  |           < 0.1  |              1  |         152  |
|  java.util.zip.InflaterInputStream.read(byte[], int, int) InflaterInputStream.java                                                                                         |        6    0%  |           < 0.1  |            0.4  |          71  |
|  java.util.TreeMap.getEntry(Object) TreeMap.java                                                                                                                           |        6    0%  |               0  |              6  |       8,828  |
|  java.util.TreeMap$KeySet.iterator() TreeMap.java                                                                                                                          |        6    0%  |           < 0.1  |              1  |       1,024  |
|  java.util.TreeMap.put(Object, Object) TreeMap.java                                                                                                                        |        6    0%  |           < 0.1  |              1  |         910  |
|  Run.reportBenchmark()                                                                                                                                                     |        5    0%  |               5  |            0.4  |           1  |
|  java.util.TreeMap.containsKey(Object) TreeMap.java                                                                                                                        |        5    0%  |           < 0.1  |              3  |       2,836  |
|  javax.management.openmbean.CompositeDataSupport.get(String) CompositeDataSupport.java                                                                                     |        5    0%  |           < 0.1  |              2  |         968  |
|  java.util.zip.ZipUtils.CENCOM(byte[], int) ZipUtils.java                                                                                                                  |        5    0%  |               0  |              5  |       9,336  |
|  java.lang.invoke.StringConcatFactory.filterAndFoldInMixers(MethodHandle, long, Class[]) StringConcatFactory.java                                                          |        5    0%  |             0.9  |          < 0.1  |           6  |
|  java.lang.invoke.StringConcatFactory.foldInLastMixers(MethodHandle, long, int, Class[], int) StringConcatFactory.java                                                     |        5    0%  |             0.9  |              2  |           6  |
|  java.util.zip.ZipUtils.CENEXT(byte[], int) ZipUtils.java                                                                                                                  |        5    0%  |               0  |              5  |       9,336  |
|  java.lang.management.MemoryUsage.from(CompositeData) MemoryUsage.java                                                                                                     |        5    0%  |           < 0.1  |            0.1  |         128  |
|  java.io.RandomAccessFile.read(byte[], int, int) RandomAccessFile.java                                                                                                     |        5    0%  |           < 0.1  |              4  |         153  |
|  java.lang.management.MemoryUsage.<init>(CompositeData) MemoryUsage.java                                                                                                   |        5    0%  |           < 0.1  |            0.6  |         128  |
|  sun.nio.fs.LinuxFileSystem.<init>(UnixFileSystemProvider, String) LinuxFileSystem.java                                                                                    |        5    0%  |               5  |          < 0.1  |           1  |
|  sun.nio.fs.UnixFileSystem.<init>(UnixFileSystemProvider, String) UnixFileSystem.java                                                                                      |        5    0%  |               5  |              3  |           1  |
|  Run.printResult(long)                                                                                                                                                     |        5    0%  |             0.5  |              1  |          10  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.validateCompositeData(CompositeData) GarbageCollectionNotifInfoCompositeData.java                     |        5    0%  |             0.6  |          < 0.1  |           8  |
|  java.lang.invoke.StringConcatFactory.filterInPrependers(MethodHandle, String[], Class[]) StringConcatFactory.java                                                         |        5    0%  |             0.8  |            0.7  |           6  |
|  java.util.zip.ZipFile$Source.readFullyAt(byte[], int, int, long) ZipFile.java                                                                                             |        4    0%  |             0.1  |            0.2  |          49  |
|  com.sun.management.internal.GcInfoCompositeData.getMemoryUsageBeforeGc(CompositeData) GcInfoCompositeData.java                                                            |        4    0%  |             0.6  |          < 0.1  |           8  |
|  com.sun.management.internal.GcInfoCompositeData.getMemoryUsageAfterGc(CompositeData) GcInfoCompositeData.java                                                             |        4    0%  |             0.6  |          < 0.1  |           8  |
|  java.nio.file.Files.readAttributes(Path, Class, LinkOption[]) Files.java                                                                                                  |        4    0%  |               2  |          < 0.1  |           2  |
|  java.util.TreeMap.put(Object, Object, boolean) TreeMap.java                                                                                                               |        4    0%  |           < 0.1  |              1  |         910  |
|  java.util.TreeMap.keyIterator() TreeMap.java                                                                                                                              |        4    0%  |           < 0.1  |              2  |       1,024  |
|  sun.nio.fs.LinuxFileSystemProvider.readAttributes(Path, Class, LinkOption[]) LinuxFileSystemProvider.java                                                                 |        4    0%  |               2  |          < 0.1  |           2  |
|  sun.nio.fs.UnixFileSystemProvider.readAttributes(Path, Class, LinkOption[]) UnixFileSystemProvider.java                                                                   |        4    0%  |               2  |            0.1  |           2  |
|  com.sun.management.GcInfo.<init>(GcInfoBuilder, long, long, long, MemoryUsage[], MemoryUsage[], Object[]) GcInfo.java                                                     |        4    0%  |             0.5  |          < 0.1  |           8  |
